Latitude,Longitude
47.597222,-122.319722
47.568236,-122.308628
47.16,-122.58
47.16,-122.48
47.16,-122.38
47.16,-122.28000000000002
47.16,-122.18000000000002
47.16,-122.08000000000004
47.16,-121.98000000000005
47.16,-121.88000000000004
47.16,-121.78000000000004
47.16,-121.68000000000004
47.16,-121.58000000000006
47.16,-121.48000000000006
47.16,-121.38000000000008
47.16,-121.28000000000009
47.16,-121.18000000000008
47.16,-121.08000000000008
47.16,-120.98000000000008
47.26,-122.58
47.26,-122.48
47.26,-122.38
47.26,-122.28000000000002
47.26,-122.18000000000002
47.26,-122.08000000000004
47.26,-121.98000000000005
47.26,-121.88000000000004
47.26,-121.78000000000004
47.26,-121.68000000000004
47.26,-121.58000000000006
47.26,-121.48000000000006
47.26,-121.38000000000008
47.26,-121.28000000000009
47.26,-121.18000000000008
47.26,-121.08000000000008
47.26,-120.98000000000008
47.36,-122.58
47.36,-122.48
47.36,-122.38
47.36,-122.28000000000002
47.36,-122.18000000000002
47.36,-122.08000000000004
47.36,-121.98000000000005
47.36,-121.88000000000004
47.36,-121.78000000000004
47.36,-121.68000000000004
47.36,-121.58000000000006
47.36,-121.48000000000006
47.36,-121.38000000000008
47.36,-121.28000000000009
47.36,-121.18000000000008
47.36,-121.08000000000008
47.36,-120.98000000000008
47.46,-122.58
47.46,-122.48
47.46,-122.38
47.46,-122.28000000000002
47.46,-122.18000000000002
47.46,-122.08000000000004
47.46,-121.98000000000005
47.46,-121.88000000000004
47.46,-121.78000000000004
47.46,-121.68000000000004
47.46,-121.58000000000006
47.46,-121.48000000000006
47.46,-121.38000000000008
47.46,-121.28000000000009
47.46,-121.18000000000008
47.46,-121.08000000000008
47.46,-120.98000000000008
47.56,-122.58
47.56,-122.48
47.56,-122.38
47.56,-122.28000000000002
47.56,-122.18000000000002
47.56,-122.08000000000004
47.56,-121.98000000000005
47.56,-121.88000000000004
47.56,-121.78000000000004
47.56,-121.68000000000004
47.56,-121.58000000000006
47.56,-121.48000000000006
47.56,-121.38000000000008
47.56,-121.28000000000009
47.56,-121.18000000000008
47.56,-121.08000000000008
47.56,-120.98000000000008
47.66,-122.58
47.66,-122.48
47.66,-122.38
47.66,-122.28000000000002
47.66,-122.18000000000002
47.66,-122.08000000000004
47.66,-121.98000000000005
47.66,-121.88000000000004
47.66,-121.78000000000004
47.66,-121.68000000000004
47.66,-121.58000000000006
47.66,-121.48000000000006
47.66,-121.38000000000008
47.66,-121.28000000000009
47.66,-121.18000000000008
47.66,-121.08000000000008
47.66,-120.98000000000008
47.760000000000005,-122.58
47.760000000000005,-122.48
47.760000000000005,-122.38
47.760000000000005,-122.28000000000002
47.760000000000005,-122.18000000000002
47.760000000000005,-122.08000000000004
47.760000000000005,-121.98000000000005
47.760000000000005,-121.88000000000004
47.760000000000005,-121.78000000000004
47.760000000000005,-121.68000000000004
47.760000000000005,-121.58000000000006
47.760000000000005,-121.48000000000006
47.760000000000005,-121.38000000000008
47.760000000000005,-121.28000000000009
47.760000000000005,-121.18000000000008
47.760000000000005,-121.08000000000008
47.760000000000005,-120.98000000000008
47.86000000000001,-122.58
47.86000000000001,-122.48
47.86000000000001,-122.38
47.86000000000001,-122.28000000000002
47.86000000000001,-122.18000000000002
47.86000000000001,-122.08000000000004
47.86000000000001,-121.98000000000005
47.86000000000001,-121.88000000000004
47.86000000000001,-121.78000000000004
47.86000000000001,-121.68000000000004
47.86000000000001,-121.58000000000006
47.86000000000001,-121.48000000000006
47.86000000000001,-121.38000000000008
47.86000000000001,-121.28000000000009
47.86000000000001,-121.18000000000008
47.86000000000001,-121.08000000000008
47.86000000000001,-120.98000000000008
47.96000000000001,-122.58
47.96000000000001,-122.48
47.96000000000001,-122.38
47.96000000000001,-122.28000000000002
47.96000000000001,-122.18000000000002
47.96000000000001,-122.08000000000004
47.96000000000001,-121.98000000000005
47.96000000000001,-121.88000000000004
47.96000000000001,-121.78000000000004
47.96000000000001,-121.68000000000004
47.96000000000001,-121.58000000000006
47.96000000000001,-121.48000000000006
47.96000000000001,-121.38000000000008
47.96000000000001,-121.28000000000009
47.96000000000001,-121.18000000000008
47.96000000000001,-121.08000000000008
47.96000000000001,-120.98000000000008
